game_date,game_time_et,game_time_utc,away_team,home_team,away_goalie,away_status,away_status_updated_at_utc,home_goalie,home_status,home_status_updated_at_utc,prob_over_1p_1_5,over_american_odds,under_american_odds,h2h_o15_pct,h2h_games,h2h_hits,game_state,game_state_code,period,clock,first_period_goals,first_period_complete,first_period_result,away_score_live,home_score_live,error,notes
2026-04-02,2026-04-02 07:00 PM ET,2026-04-02T23:00:00+00:00,BOS,FLA,Jeremy Swayman,Confirmed,2026-04-02T16:21:19.362Z,Sergei Bobrovsky,Confirmed,2026-04-02T14:26:10.762Z,0.5316371905410683,-114,114,50.0%,2,1,Scheduled,FUT,0,,0,False,,0,0,,
2026-04-02,2026-04-02 07:00 PM ET,2026-04-02T23:00:00+00:00,BUF,OTT,Ukko-Pekka Luukkonen,Likely,2026-04-02T15:31:15.160Z,Linus Ullmark,Confirmed,2026-04-02T15:02:22.779Z,0.5427217803716203,-119,119,100.0%,2,2,Scheduled,FUT,0,,0,False,,0,0,,
2026-04-02,2026-04-02 07:00 PM ET,2026-04-02T23:00:00+00:00,CBJ,CAR,Elvis Merzlikins,Confirmed,2026-04-02T15:31:44.660Z,Frederik Andersen,Likely,2026-04-02T14:28:07.644Z,0.5520301533593318,-123,123,50.0%,2,1,Scheduled,FUT,0,,0,False,,0,0,,
2026-04-02,2026-04-02 07:00 PM ET,2026-04-02T23:00:00+00:00,DET,PHI,John Gibson,Confirmed,2026-04-02T15:51:50.649Z,Samuel Ersson,Confirmed,2026-04-02T14:59:28.837Z,0.49996485836464977,100,-100,,0,0,Scheduled,FUT,0,,0,False,,0,0,,
2026-04-02,2026-04-02 07:00 PM ET,2026-04-02T23:00:00+00:00,MTL,NYR,Jacob Fowler,Likely,2026-04-02T14:47:32.774Z,Igor Shesterkin,Confirmed,2026-04-02T14:43:35.566Z,0.5549744180827751,-125,125,100.0%,2,2,Scheduled,FUT,0,,0,False,,0,0,,
2026-04-02,2026-04-02 07:00 PM ET,2026-04-02T23:00:00+00:00,PIT,TBL,Stuart Skinner,Confirmed,2026-04-02T16:22:33.485Z,Andrei Vasilevskiy,Likely,2026-04-02T14:38:27.600Z,0.5771664086490056,-136,136,0.0%,2,0,Scheduled,FUT,0,,0,False,,0,0,,
2026-04-02,2026-04-02 07:30 PM ET,2026-04-02T23:30:00+00:00,WSH,NJD,Logan Thompson,Likely,2026-04-02T16:25:23.377Z,Jake Allen,Likely,2026-04-02T15:05:07.730Z,0.5228701266937893,-110,110,33.3%,3,1,Scheduled,FUT,0,,0,False,,0,0,,
2026-04-02,2026-04-02 08:00 PM ET,2026-04-03T00:00:00+00:00,VAN,MIN,Nikita Tolopilo,Unconfirmed,,Filip Gustavsson,Confirmed,2026-04-01T17:07:02.330Z,0.5642310981751401,-129,129,0.0%,2,0,Scheduled,FUT,0,,0,False,,0,0,,
2026-04-02,2026-04-02 08:00 PM ET,2026-04-03T00:00:00+00:00,WPG,DAL,Connor Hellebuyck,Confirmed,2026-04-02T16:35:57.312Z,Jake Oettinger,Confirmed,2026-04-02T16:18:13.838Z,0.5073837750734101,-103,103,33.3%,3,1,Scheduled,FUT,0,,0,False,,0,0,,
2026-04-02,2026-04-02 09:00 PM ET,2026-04-03T01:00:00+00:00,CHI,EDM,Spencer Knight,Unconfirmed,,Tristan Jarry,Confirmed,2026-04-02T16:06:56.937Z,0.5780564282782246,-137,137,0.0%,2,0,Scheduled,FUT,0,,0,False,,0,0,,
2026-04-02,2026-04-02 10:00 PM ET,2026-04-03T02:00:00+00:00,CGY,VGK,Dustin Wolf,Unconfirmed,,Adin Hill,Unconfirmed,,0.5257036185481955,-111,111,100.0%,3,3,Scheduled,FUT,0,,0,False,,0,0,,
2026-04-02,2026-04-02 10:00 PM ET,2026-04-03T02:00:00+00:00,TOR,SJS,Joseph Woll,Unconfirmed,,Alex Nedeljkovic,Unconfirmed,,0.5612387907990029,-128,128,0.0%,1,0,Scheduled,FUT,0,,0,False,,0,0,,
2026-04-02,2026-04-02 10:00 PM ET,2026-04-03T02:00:00+00:00,UTA,SEA,Karel Vejmelka,Unconfirmed,,Joey Daccord,Unconfirmed,,0.5325880812119788,-114,114,50.0%,2,1,Scheduled,FUT,0,,0,False,,0,0,,
2026-04-02,2026-04-02 10:30 PM ET,2026-04-03T02:30:00+00:00,NSH,LAK,Juuse Saros,Unconfirmed,,Darcy Kuemper,Unconfirmed,,0.5048243528641626,-102,102,100.0%,1,1,Scheduled,FUT,0,,0,False,,0,0,,
